country,year,mkt_cap_pct_gdp
France,2000,106.29519670679
France,2001,85.7182568456558
France,2002,64.7947651646464
France,2003,73.8885242256958
France,2004,73.8987284218355
France,2005,80.2187850031749
France,2006,104.762589273809
France,2007,103.182610132339
France,2008,50.3076872405421
France,2009,72.0789053596651
France,2010,72.2354205712469
France,2011,54.1371348632507
France,2012,67.3941083808224
France,2013,81.7124216877025
France,2014,72.901910850665
France,2015,85.4997526284434
France,2016,87.3963704443473
France,2017,106.197544283094
France,2018,85.0578939321398
Germany,2000,64.5783239896819
Germany,2001,54.5036012508445
Germany,2002,32.6307836233992
Germany,2003,42.5699149347862
Germany,2004,41.8788117991391
Germany,2005,41.5476294494245
Germany,2006,53.7571829522138
Germany,2007,60.423753481629
Germany,2008,29.1628668367447
Germany,2009,37.1521747753963
Germany,2010,41.2368151824591
Germany,2011,30.978859078058
Germany,2012,41.3268938999697
Germany,2013,50.8561638490348
Germany,2014,43.8485684872249
Germany,2015,50.0949082078409
Germany,2016,48.5197743240464
Germany,2017,60.079981755637
Germany,2018,43.2795387525403
Germany,2019,52.9855978284666
Germany,2020,57.9517289387954
Germany,2021,57.4718950080433
Germany,2022,44.9810563246043
Germany,2023,47.7411977532533
Japan,2000,63.5465700391657
Japan,2001,51.7640488871256
Japan,2002,49.4710801522655
Japan,2003,65.3403699693169
Japan,2004,72.7077474943828
Japan,2005,94.648292050927
Japan,2006,100.269591819727
Japan,2007,94.5667556012952
Japan,2008,61.014284621295
Japan,2009,62.5028140929669
Japan,2010,66.4651241298202
Japan,2011,53.3500600588401
Japan,2012,55.4628538265445
Japan,2013,87.1619932991927
Japan,2014,89.4016616644297
Japan,2015,110.123633038841
Japan,2016,99.0331516365327
Japan,2017,126.202199426239
Japan,2018,105.077091955864
Japan,2019,120.96679808146
Japan,2020,132.926971755297
Japan,2021,129.8692412031
Japan,2022,126.22924958757
Japan,2023,145.951960431945
Spain,2000,84.3031120802178
Spain,2001,74.5785556965442
Spain,2002,65.1057260368599
Spain,2003,79.9859902203386
Spain,2004,87.9273737826225
Spain,2005,83.133053191255
Spain,2006,104.839622557488
Spain,2007,121.878348922177
Spain,2008,57.9636535663716
Spain,2009,95.8540935908394
Spain,2010,82.0471947088589
Spain,2011,69.3068883641221
Spain,2012,74.7627594995076
Spain,2013,81.968268158949
Spain,2014,71.937512944825
Spain,2015,65.2640754107354
Spain,2016,56.6808082016392
Spain,2017,67.2468190201932
Spain,2018,50.5496877632606
Spain,2019,56.8071173531385
Spain,2020,58.8606120063316
Spain,2021,53.0814259140659
Spain,2022,45.9328003295995
Spain,2023,47.5198353030165
United Kingdom,2000,154.163358398166
United Kingdom,2001,129.787370279399
United Kingdom,2002,103.666935952575
United Kingdom,2003,117.688207622641
United Kingdom,2004,115.892551894257
United Kingdom,2005,119.864709043085
United Kingdom,2006,139.043106242558
United Kingdom,2007,123.891584653248
United Kingdom,2008,63.4293117399204
United Kingdom,2009,115.110417691876
United Kingdom,2010,107.61553654272
United Kingdom,2011,109.592307961893
United Kingdom,2012,121.028819426289
United Kingdom,2013,141.115984497304
United Kingdom,2014,115.736607371526
United Kingdom,2021,118.935321441875
United Kingdom,2022,97.3198877208869
United States,2000,147.379061960136
United States,2001,132.146652819017
United States,2002,101.146635097615
United States,2003,124.526145193632
United States,2004,133.612737929627
United States,2005,130.382734540376
United States,2006,141.644163028722
United States,2007,137.639681557832
United States,2008,78.4725069790145
United States,2009,104.138818334713
United States,2010,114.848112933717
United States,2011,100.262689943548
United States,2012,114.85397505198
United States,2013,142.697743735073
United States,2014,150.02603277454
United States,2015,137.688185444872
United States,2016,146.306705272649
United States,2017,164.91321885409
United States,2018,148.23078992826
United States,2019,159.420819612207
United States,2020,197.3833187889
United States,2021,208.228052204508
United States,2022,157.384175416952
United States,2023,179.463180379106
